x,y,c,size,dt,summary
2009,4,1,8,11/29/09,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt."
2009,1,0,2,11/29/09,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt."
2009,13,1,26,11/5/09,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested."
2009,30,0,60,11/5/09,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested."
2009,14,1,28,4/3/09,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide."
2009,4,0,8,4/3/09,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide."
2009,8,1,16,3/29/09,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer."
2009,3,0,6,3/29/09,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer."
2008,6,1,12,6/25/08,"Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide."
2008,1,0,2,6/25/08,"Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide."
2008,5,1,10,2/14/08,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived."
2008,21,0,42,2/14/08,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived."
2008,6,1,12,2/7/08,"Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police."
2008,2,0,4,2/7/08,"Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police."
2007,9,1,18,12/5/07,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide."
2007,4,0,8,12/5/07,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide."
2007,6,1,12,10/7/07,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide."
2007,1,0,2,10/7/07,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide."
2007,32,1,64,4/16/07,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide."
2007,23,0,46,4/16/07,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide."
2007,6,1,12,2/12/07,"Sulejman Talovi_‡, 18, rampaged through the shopping center until he was shot dead by police."
2007,4,0,8,2/12/07,"Sulejman Talovi_‡, 18, rampaged through the shopping center until he was shot dead by police."
2006,6,1,12,10/2/06,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life."
2006,5,0,10,10/2/06,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life."
2006,7,1,14,3/25/06,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide."
2006,2,0,4,3/25/06,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide."
2006,8,1,16,1/30/06,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide."
2006,0,0,0,1/30/06,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide."
2005,10,1,20,3/21/05,"Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide."
2005,5,0,10,3/21/05,"Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide."
2005,7,1,14,3/12/05,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide."
2005,4,0,8,3/12/05,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide."
2004,5,1,10,12/8/04,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale."
2004,7,0,14,12/8/04,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale."
2003,7,1,14,7/8/03,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide."
2003,8,0,16,7/8/03,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide."
2001,5,1,10,2/5/01,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide."
2001,4,0,8,2/5/01,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide."
2000,7,1,14,12/26/00,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested."
2000,0,0,0,12/26/00,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested."
2002,0,0,0,1-Jan-02,No Event
,,,,,